"","1975:Q1","1975:Q2","1975:Q3","1975:Q4","1976:Q1","1976:Q2","1976:Q3","1976:Q4","1977:Q1","1977:Q2","1977:Q3","1977:Q4","1978:Q1","1978:Q2","1978:Q3","1978:Q4","1979:Q1","1979:Q2","1979:Q3","1979:Q4","1980:Q1","1980:Q2","1980:Q3","1980:Q4","1981:Q1","1981:Q2","1981:Q3","1981:Q4","1982:Q1","1982:Q2","1982:Q3","1982:Q4","1983:Q1","1983:Q2","1983:Q3","1983:Q4","1984:Q1","1984:Q2","1984:Q3","1984:Q4","1985:Q1","1985:Q2","1985:Q3","1985:Q4","1986:Q1","1986:Q2","1986:Q3","1986:Q4","1987:Q1","1987:Q2","1987:Q3","1987:Q4","1988:Q1","1988:Q2","1988:Q3","1988:Q4","1989:Q1","1989:Q2","1989:Q3","1989:Q4","1990:Q1","1990:Q2","1990:Q3","1990:Q4","1991:Q1","1991:Q2","1991:Q3","1991:Q4","1992:Q1","1992:Q2","1992:Q3","1992:Q4","1993:Q1","1993:Q2","1993:Q3","1993:Q4","1994:Q1","1994:Q2","1994:Q3","1994:Q4","1995:Q1","1995:Q2","1995:Q3","1995:Q4","1996:Q1","1996:Q2","1996:Q3","1996:Q4","1997:Q1","1997:Q2","1997:Q3","1997:Q4","1998:Q1","1998:Q2","1998:Q3","1998:Q4","1999:Q1","1999:Q2","1999:Q3","1999:Q4","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1"
"Australia",72.13,71.41,70.63,69.63,69.25,69.64,71.14,71.09,70.72,70.22,69.63,70.02,70.94,71,71.63,71.43,71.77,71.51,71.03,70.94,71.15,71.77,71.9,72.26,72.32,72.95,73.25,73.72,73.79,74.12,73.32,73.03,72.74,71.99,73.52,73.33,73.55,73.76,73.46,73.72,74.02,73.53,73.49,73.91,73.81,73.29,72.49,72.04,71.43,71.54,71.72,71.2,71.83,72.16,72.43,73.68,74.86,75.42,75.23,76.57,76.85,76.45,76.05,75.83,74.85,74.73,74.61,74.37,74.8,75,75.42,75.29,75.23,75.3,75.01,75.55,76.62,77.57,77.74,78.16,78.41,78.42,79.06,79.73,80.32,80.93,81.4,81.96,82.34,82.83,82.9,82.79,82.54,82.91,83.63,83.65,84.46,86.03,86.62,87.05,87.31,87.1,89.03,88.54,89.08,89.97,91.27,92.54,92.23,90.61,90.53,90.68,91.35,92.1,92.71,93.87,95.31,97.29,97.58,98.61,99.24,100.29,100.41,100.06,100.24,100.29,102.12,103.4,104.71,106.42,107.41,108.47,109.34,109.57,110.26,113.65,113.9,114.58,113.34,113.27,113.8,114.39,115.72,117.42,118.19,118.56,119.37,119.75,119.69,119.97,118.7,118.88,119.52,119.74,120.22,121.03,121.39,121.7,121.78,121.91,121.36,121.79,121.81,121.66,122.27,122.38,122.06,121.67,121.54
"Belgium",66.15,68.34,70.23,71.78,73.03,73.73,74.01,74.04,72.43,72.52,72.79,73.17,73.6,74.06,74.47,74.83,75.23,75.64,76.07,76.43,78.6,78.46,78.52,78.62,78.38,78.2,77.84,77.38,76.68,76.19,75.76,75.36,74.86,74.61,74.38,74.14,74.08,73.69,73.35,73.2,72.1,72.63,73.45,74.37,76.01,76.5,76.68,76.67,75.54,75.75,76.15,76.62,77.74,78.06,78.35,78.74,79.56,80.33,81.27,82.31,83.85,84.8,85.63,86.39,86.82,87.59,88.35,89.06,90.08,90.49,90.73,90.82,90.46,90.52,90.69,90.95,90.64,91.25,92.1,93.16,95.55,96.61,96.99,97.88,96.01,96.4,96.23,96.3,96.34,97.04,96.65,97.25,97.97,97.95,98.64,99.66,99.74,97.2,98.85,98.96,98.88,99.52,100.71,101.25,102.66,102.45,102.22,102.18,102.02,101.8,100.67,100.98,100.64,101.49,100.27,99.94,99.42,99.32,100.17,100.73,100.63,99.39,99.41,100.57,101.9,101.61,100.01,100.93,102.55,101.81,101.95,102.23,103.53,102.92,102.53,103.85,105.05,105.01,104.17,103.76,102.93,102.79,102.57,102.02,100.96,100.2,100.69,100.65,99.62,99.7,100.24,99.56,99.43,99.2,99.53,98.57,98.51,98.64,98.71,98.67,99.02,98.83,98.64,98.54,98.91,99.33,99.61,99.29,100.52
"Canada",70.62,71.45,72.21,72.36,72.79,74.32,72.17,74.23,73.11,74.05,73.06,73.98,75.68,75.08,74.75,75.15,75.22,76.9,76.1,77.2,77.34,77.5,77.21,77.19,78.54,78.77,78.38,79.17,79.96,78.28,77.73,74.81,74.45,74.13,78,76.38,75.33,77.9,78.22,78.85,78.84,81.56,81.14,81.48,80.92,81.85,81.03,80.76,81.99,81.2,83.93,83.38,82.79,84.8,86.83,88.15,89.01,90.13,87.77,88.11,89.57,86.16,87.44,87.51,86.39,84.42,85.23,86.19,84.76,85.93,87.67,85.72,85.81,88.76,85.59,84.11,85.82,86.16,85.44,85.86,85.81,85.86,85.46,85.64,85.65,84.95,84.65,84.96,85.62,85.37,87.34,87.42,87.48,87.55,89.29,90.22,90.06,90.82,91.23,91.46,91.94,92.64,93.6,94.99,96.85,93.43,95.54,96.3,97.12,96,96.22,96.36,97.2,96.58,96.16,97.2,97.75,99.2,99.56,99.87,98.59,100.03,100.06,101.32,103.51,103.09,105.26,107.02,107.9,107.06,107.05,108.45,109.99,110.64,111.51,111.81,111.58,111.5,112.81,113.29,115.47,113.87,114.84,115.95,115.69,115.06,115.39,116.69,117.18,117.29,118.44,118.79,120.34,120.59,120.5,121.47,120.51,121.12,121.9,122.65,123.27,125.05,125.42,126.6,126.75,127.35,128.65,129.45,129.47
"Switzerland",73.36,72.68,72.25,72.02,71.54,71.5,71.54,71.69,71.72,72.19,72.72,73.2,74.62,74.71,74.62,74.44,74.5,74.47,74.54,74.63,74.6,74.91,75.37,75.62,75.71,75.9,75.73,75.79,76.37,76.02,75.55,75.3,75.34,75.4,75.53,75.39,75.48,75.69,75.95,76.12,76.19,76.64,77.15,77.28,77.92,78.41,79.28,80.09,80.87,81.81,82.5,83.06,83.97,84.72,85.57,86.35,87.15,87.41,88.12,88.02,88.56,89.12,88.89,88.59,89.48,89.45,89.27,88.98,88.76,88.48,88.62,88.29,88.07,87.62,87.39,87.94,88.15,88.87,89.44,89.75,89.82,90.08,90.21,90.26,89.58,89.89,90.49,90.68,91.17,91.55,92.03,92.58,93.28,94.03,94.89,95.67,96.1,96.73,97.27,97.93,98.71,99.4,99.8,100.09,101.22,101.38,101.47,101.65,100.6,100.34,100,99.63,98.87,98.69,98.51,98.58,98.92,98.96,98.97,98.98,99.11,99.56,100.33,101,101.26,102.12,103.01,104.24,105.03,105.74,106.41,106.43,105.08,105.26,105.84,106.74,105.86,106.38,106.71,107.08,106.32,106.65,107.1,106.96,106.75,107.55,108.31,108.86,109.67,110.7,111.54,112.31,113.22,113.76,113.77,114.04,114.36,114.46,114.12,113.72,112.38,112.36,112.3,112.49,113.95,114.23,114.75,115.26,115.47
"Germany",65.2,65.89,66.65,66.82,66.83,66.98,67.15,67.81,68.3,68.93,69.49,70.11,71.09,71.5,72.19,73.03,73.45,73.28,73.15,73.37,73.75,72.71,72.48,72.5,72.65,72.43,71.84,71.28,70.78,70.25,69.53,68.96,68.91,68.92,68.56,68.93,69.39,69.73,70.38,70.62,70.44,70.85,71.74,72.22,73.11,74.59,75.16,75.82,76.68,77.14,77.52,78.14,79.18,79.53,79.44,80.31,79.71,80.04,81.3,82.36,82.77,83.8,84.87,85.38,86.07,88.1,85.06,86.62,88.35,87.85,88.09,89.95,87.33,88.08,88.12,89.11,89.08,88.34,89.34,89.93,90.06,90.92,90.57,90.16,91.06,90.84,90.97,90.39,90.58,91.55,90.73,91.21,91.85,91.4,91.96,92.73,93.42,93.07,93.82,95.28,95.85,95.93,95.49,94.97,98.02,97.96,97.93,97.7,96.58,96.7,97.62,98.05,97.78,98.18,98.34,98.14,99.19,98.98,99.02,99.85,99.06,100.14,99.89,100.9,101.05,101.48,101.89,103.28,102.67,102.3,102.55,103.24,103.44,105.21,104.07,102.76,103.78,104.48,103.86,103.78,104.18,104.77,105.25,106.16,105.73,105.94,106.53,106.61,108,106.96,106.5,106.33,106.67,107.03,107.79,107.23,107.54,108.13,108.51,109.06,109.77,109.96,110.85,110.85,110.5,111.55,110.45,110.78,111.97
"Denmark",70.21,71.65,72.78,73.74,74.54,75.24,75.82,76.21,76.23,76.49,76.84,77.28,77.87,78.17,78.22,78.08,77.69,77.39,77.1,76.77,76.17,75.72,75.22,74.67,73.45,73.24,73.36,73.76,76.29,76.64,76.74,76.66,74.76,74.59,74.5,74.48,75.8,75.79,75.71,75.49,73.88,73.96,74.47,75.48,78.14,79.08,79.45,79.28,77.53,77.14,77.05,77.23,78.14,78.44,78.61,78.61,78.85,78.8,78.87,79.06,79.78,78.15,78.71,79.22,79.57,79.93,80.57,80.81,81.64,81.7,81.67,81.19,80.35,80.48,80.36,80.32,80.18,80.62,81.23,82.19,84.43,85.67,86.71,87.45,86.85,86.89,86.85,86.68,86.64,86.72,86.84,87.34,88.86,89.23,89.28,89.4,87.31,88.22,88.37,88.07,87.67,88.69,88.52,88.95,89.6,90.69,90.5,91.14,92.27,93.49,93.93,94.67,95.05,96.1,95.92,95.84,96.33,97.57,98.67,99.09,100.24,100.32,99.76,99.68,101.43,102.21,100.14,100.62,100.66,101.08,100.69,102.27,101.49,101.04,98.77,98.2,100.39,100.67,100.61,102.61,103.71,104.43,104.94,105.79,106.15,106.62,106.24,105.85,106.2,106,105.31,105.65,106.85,107.4,107.14,108.5,110.1,109.54,108.31,109.18,111.92,111.71,110.01,110.02,112.5,111.15,108.88,108.68,108.59
"Spain",71.77,71.36,71.22,71.38,72.57,72.8,72.89,72.84,72.2,72.2,72.31,72.54,73.43,73.54,73.48,73.28,72.83,72.45,72.03,71.56,70.71,70.32,70.03,69.83,69.84,69.74,69.65,69.58,69.63,69.52,69.38,69.22,69.17,68.9,68.54,68.11,67.13,66.79,66.6,66.54,66.55,66.73,67.03,67.44,68.12,68.62,69.13,69.66,70.19,70.8,71.46,72.17,73.04,73.77,74.47,75.13,75.46,76.2,77.06,78.02,79.49,80.45,81.31,82.1,83.09,83.59,83.9,84.02,83.53,83.51,83.52,83.57,84.02,83.95,83.72,83.33,81.81,81.62,81.77,82.24,83.84,85.16,85.5,86.55,86.32,86.92,86.65,87.21,86.16,86.72,86.21,86.82,88.04,89.16,89.18,90.44,92.21,92.93,92.63,93.86,93.85,94.85,94.6,95.24,95.65,96.52,96.61,97.73,97.82,97.98,97.68,98.55,98.72,99.22,99.09,100.02,99.87,99.77,99.23,100.09,99.98,100.11,99.61,100.29,99.78,99.9,99.59,100.6,99.36,99.14,98.7,99.03,98.61,98.17,97.45,98.92,100.74,101.2,100.49,100.43,100.01,99.43,98.04,97.85,97.13,96.8,95.96,95.6,94.41,93.58,92.43,91.62,91.89,91.98,91.93,92.5,92.45,92.86,93.33,95.18,94.91,95.29,95.84,97.34,97.82,98.49,98.37,98.67,97.7
"Finland",52.89,53.2,53.73,56.41,52.77,53.14,52.69,52.56,51.98,51.71,51.54,52.03,52.7,53.36,54.51,55.37,56.14,57.2,58.06,58.9,59.55,60.1,60.05,59.81,59.56,59.24,60.02,60.61,61.69,62.23,62.85,63.74,64.57,65.2,65.56,65.63,65.26,66.03,66.28,66.33,67.16,67.3,67.86,68.51,68.36,68.61,69.49,70.54,71.86,72.95,73.85,74.14,72.99,74.1,74.83,76.08,78.21,79.38,80.32,80.9,79.99,80.41,80.56,80.99,82.02,82.17,82.29,82.05,81.63,81.25,80.66,79.66,77.57,76.59,75.88,75.14,72.75,72.4,72.45,73.19,77.09,78.12,79.02,79.32,77.08,77.27,78.15,78.57,80.07,80.84,81.71,82.23,82.48,82.48,83.45,84.34,85.53,85.26,86.82,87.1,87.5,87.74,86.57,85.55,86.63,89.66,89.6,89.09,91.03,88.45,90.91,93.43,94.06,93.68,94.7,95.88,96.48,98.42,98.64,99.91,98.77,100.04,100.4,100.79,101.87,100.86,102.32,103.25,103.82,104.96,105.97,106.06,105.94,107.44,106.92,107.33,107.58,107.61,108.12,108.96,109.98,110.01,110.95,112.07,111.71,112.32,112.24,112.89,112.19,112.52,113.03,113.15,113.31,113.37,113.75,112.87,112.14,113.06,113.63,114.13,114.48,114.74,115.13,115.8,116.62,115.43,116.05,116.05,115.98
"France",66.12,66.31,67.32,68.27,67.63,67.74,68.36,68.55,68.61,68.68,69.34,70.49,72.07,72.7,73.03,73.52,73.42,72.8,72.47,72.44,72.06,72.17,72.28,72.21,72.2,72.96,72.65,72.27,73.17,73.49,73.39,72.3,73.03,72.15,71.7,71.53,71.3,70.49,70.59,69.72,70.06,70.01,71.08,71.55,71.88,72.18,72.26,72.39,71.92,72.87,72.9,73.22,73.69,74.48,74.83,75.77,76.1,76.12,77.49,78.31,79.28,79.2,79.93,79.5,80.09,80.64,80.35,80.46,81.03,81.78,82.06,82.21,81.99,82.41,82.27,81.94,82.03,82.07,82.67,83.44,83.6,84.51,84.59,84.82,84.52,84.97,85.17,84.85,85.48,84.48,86.27,88.46,87.26,87.44,89.96,90.64,90.96,90.7,90.93,91.98,92.55,93.27,93.44,95.98,95.5,95.32,96.55,97.3,97.32,97.73,98.03,99.81,97.88,98.28,98.62,98.99,99.27,99.99,100.23,100.07,99.81,99.9,99.91,100.39,100.29,101.21,101.51,102.51,103.05,103.64,103.83,104.01,103.96,103.42,102.65,103.09,103.63,104.47,104.94,104.85,104.98,105.19,105.67,105.56,105.5,105.67,105.28,104.91,104.86,105.11,104.91,103.25,104.09,104.4,104.35,104.07,102.02,102.39,102.99,102.94,103.15,103.03,103.59,104.22,104.85,105.13,105.73,105.77,105.91
"UK",49.9,49.05,48.99,48.51,48.63,48.44,49.04,48.22,47.23,46.98,47.69,49.02,49.54,50.52,51.5,51.8,52.41,53.04,53.44,54.71,54.1,54.01,54.34,54.08,54.08,53.47,53.17,53.26,53.2,53.51,53.32,53.34,53.47,54.49,54.37,54.49,54.89,54.84,55.88,56.96,57.63,57.96,58.19,58.82,59.58,60.87,60.51,60.41,60.24,61.06,61.64,62.14,63.01,63.94,64.7,65.3,66.39,67.46,68.86,68.92,70.05,70.07,70.59,71.39,71.75,71.43,72.64,73.16,73.8,74.66,75.21,75.32,75.3,76.6,77.25,77.48,77.44,77.54,78.36,78.41,79.13,79.42,79.93,80.39,81.37,81.91,82.46,81.97,83.33,84.38,84.83,84.57,85.31,85.92,86.78,86.25,86.13,88.84,89.16,90.24,91.16,92.63,94.44,95.27,95.96,96.15,96.88,97.7,97.64,98.15,97.88,97.82,98.22,99.21,98.94,99.15,98.46,99.33,99.61,99.23,99.36,100.35,100.24,100.04,99.34,100.65,101.05,100.47,100.92,101.48,102.29,102.46,101.48,102.04,101.6,101.93,101.66,104.07,104.27,104.74,104.54,104.14,104.33,103.35,101.94,101.58,101.31,101.12,102.01,103.69,104.01,103.7,102.45,103.49,103.84,103.21,102.87,104.01,104.27,105.48,106.06,107.17,108.37,108.68,108.91,109.38,109.1,108.59,107.63
